Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
บัณฑิตวิทยาลัยและนานาชาติ	หมวดนี้ประกอบด้วย:\n- บัณฑิตวิทยาลัย\n- วิทยาลัยนานาชาติ	Editorial	system_metadata_qna_edited_manually:true|category:program	[]	False	[]	86
สิ่งอำนวยความสะดวกในมหาลัย	ภายในมหาวิทยาลัยมีสิ่งอำนวยความสะดวกหลัก เช่น \n- รถรับส่งภายในมหาวิทยาลัย \n- ห้องสมุด \n- โรงอาหารและร้านกาแฟ \n- ศูนย์กีฬาและสุขภาพ \n- ศูนย์คอมพิวเตอร์และ Wi-Fi \n- ธนาคารและตู้ ATM \n- ไปรษณีย์\n	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	87
เปิดเทอม	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดเทอมวันไหน	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดเทอมวันไหน?	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดเรียนวันไหน	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดเรียนวันไหนคะ	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดเรียนวันไหนครับ	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดเทอมกี่โมง	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เทอมนี้เริ่มเรียนเมื่อไหร่	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
วันเเรกของการเรียนคือวันไหน	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เริ่มเรียนวันไหน	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
เปิดภาคเรียนวันไหน	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
มหาลัยเปิดเรียนเมื่อไหร่	ภาคการศึกษาที่ 2568 จะเริ่มเรียนในวันที่ 23 มิถุนายน พ.ศ. 2568 ครับ ส่วนภาคการศึกษาอื่นๆ สามารถดูในปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	88
ปิดเทอม	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
ปิดเทอมวันไหน	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
ปิดเทอมกี่โมง	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
ปิดเทอมเมื่อไร	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
ปิดเทอมเมื่อไหร่	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
ปิดเทอมตอนไหน	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
วันปิดภาคเรียนวันไหน	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
เทอมนี้ปิดวันไหน	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
วันสิ้นสุดการเรียนคือวันไหน	สำหรับภาคการศึกษาปี 2568 นะครับ\n- ภาคการศึกษาที่ 1 จะปิดภาคการศึกษาตั้งแต่วันที่ 27 ตุลาคม 2568 \n- ภาคการศึกษาที่ 2 จะปิดภาคการศึกษาตั้งแต่วันที่ 21 มีนาคม 2569 \n- ภาคฤดูร้อนจะปิดตั้งแต่วันที่ 7 มิถุนายน 2569\nสามารถเข้าดูปฏิทินการศึกษาฉบับเต็มได้ที่: https://reg.psu.ac.th/calendar_education/	Editorial	system_metadata_qna_edited_manually:true	[{"clusterHead":"การศึกษา","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"การศึกษา","autoSuggestedCount":1,"userSuggestedCount":0}]}]	False	[]	89
ลงทะเบียนเรียน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
ลงทะเบียนเรียนตอนไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
ปริญญาโทเริ่มลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
ปี 4 เริ่มลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
ปี 3 เริ่มลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
ปี 2 เริ่มลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
ปี 1 เริ่มลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
เริ่มลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
เปิดลงทะเบียนเรียนวันไหน	การลงทะเบียนเรียนเริ่ม 16 มิ.ย. 2568 ผ่านระบบ SIS: https://sis.psu.ac.th/\n- ปี 1: 16 มิ.ย.\n- ปี 4: 17 มิ.ย.\n- ปี 3: 18 มิ.ย.\n- ปี 2: 19 มิ.ย.\n- ปริญญาโท: 20 มิ.ย.	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	90
เพิ่มถอนรายวิชา	นักศึกษาสามารถทำการเพิ่ม–ถอนรายวิชาได้จนถึงวันที่ 6 กรกฎาคม 2568 เวลา 23.59 น. ผ่านระบบสารสนเทศนักศึกษา (SIS): https://sis.psu.ac.th หากถอนรายวิชาช้ากว่าช่วงเวลานี้จะติดสัญลักษณ์ W (Withdraw)	Editorial	system_metadata_qna_edited_manually:true	[]	False	[]	91
